train_size,CNN_standard,CNN_matern,CNN_beta,Transformer_standard,Transformer_matern,Transformer_beta,MLP_standard,MLP_matern,MLP_beta
100.0,0.8827611,0.8829022,0.796025,0.946899155,0.94704731,0.85582625,0.8186230449999999,0.81875709,0.73622375
5149.495,0.9126349,0.9126337,0.85364985,0.978266645,0.978265385,0.9163323425000001,0.847003155,0.8470020149999999,0.7909673575
10198.99,0.9156997,0.91564775,0.83349955,0.9814846850000001,0.9814301375000001,0.8951745275,0.8499147149999999,0.8498653624999999,0.7718245724999999
15248.485,0.9171319,0.91698754,0.82092524,0.9829884950000001,0.9828369170000001,0.8819715020000001,0.8512753049999999,0.851138163,0.7598789779999999
20297.98,0.91801625,0.9178186,0.8125366,0.9839170625,0.98370953,0.8731634300000001,0.8521154375,0.85192767,0.75190977
25347.477,0.91864127,0.91841924,0.8066416,0.9845733335,0.984340202,0.86697368,0.8527092064999999,0.8524982779999999,0.74630952
30396.97,0.91912,0.91889095,0.80234283,0.9850760000000001,0.9848354975,0.8624599715,0.853164,0.8529464025,0.7422256884999999
35446.465,0.91950655,0.9192808,0.7991227,0.9854818775,0.9852448400000001,0.859078835,0.8535312225,0.8533167599999999,0.7391665649999999
40495.96,0.91983044,0.919614,0.7966627,0.985821962,0.9855947000000002,0.856495835,0.853838918,0.8536332999999999,0.7368295649999999
45545.457,0.92010915,0.9199056,0.7947557,0.9861146075000001,0.9859008800000001,0.854493485,0.8541036925,0.8539103199999999,0.7350179149999999
50594.953,0.9203542,0.92016524,0.7932619,0.98637191,0.9861735020000001,0.852924995,0.85433649,0.8541569779999999,0.733598805
55644.445,0.92057294,0.92039955,0.79208344,0.9866015870000001,0.9864195275000001,0.851687612,0.8545442929999999,0.8543795724999999,0.732479268
60693.94,0.9207707,0.92061317,0.79115,0.9868092350000001,0.9866438285,0.8507075000000001,0.854732165,0.8545825115,0.7315925
65743.44,0.92095155,0.9208097,0.79040956,0.9869991275,0.986850185,0.849930038,0.8549039724999999,0.8547692149999999,0.7308890819999999
70792.93,0.9211181,0.9209916,0.7898235,0.9871740050000001,0.9870411800000001,0.849314675,0.855062195,0.85494202,0.730332325
75842.43,0.92127264,0.9211612,0.7893617,0.9873362720000001,0.98721926,0.8488297850000001,0.8552090079999999,0.85510314,0.729893615
80891.92,0.92141694,0.92131984,0.7890016,0.9874877870000001,0.9873858320000001,0.84845168,0.8553460929999999,0.8552538479999999,0.7295515199999999
85941.414,0.9215524,0.9214691,0.7887247,0.9876300200000001,0.9875425550000001,0.848160935,0.85547478,0.855395645,0.7292884649999999
90990.914,0.9216801,0.9216099,0.7885169,0.9877641050000001,0.987690395,0.847942745,0.8555960949999999,0.855529405,0.7290910549999999
96040.41,0.92180085,0.9217433,0.78836644,0.9878908925000001,0.9878304650000002,0.8477847620000001,0.8557108075,0.8556561349999999,0.7289481179999999
101089.91,0.9219156,0.92186993,0.78826416,0.98801138,0.9879634265,0.847677368,0.8558198199999999,0.8557764334999999,0.7288509519999999
106139.4,0.9220248,0.9219905,0.7882022,0.98812604,0.9880900250000001,0.84761231,0.8559235599999999,0.855890975,0.7287920899999999
111188.89,0.92212903,0.92210567,0.7881745,0.9882354815000001,0.9882109535000001,0.847583225,0.8560225785,0.8560003864999999,0.728765775
116238.39,0.9222288,0.9222157,0.7881757,0.98834024,0.988326485,0.847584485,0.8561173599999999,0.856104915,0.728766915
121287.88,0.92232454,0.9223212,0.78820145,0.988440767,0.98843726,0.8476115225,0.8562083129999999,0.8562051399999999,0.7287913774999999
126337.375,0.9224165,0.92242247,0.7882482,0.988537325,0.9885435935000001,0.84766061,0.8562956749999999,0.8563013464999999,0.7288357899999999
131386.88,0.922505,0.9225198,0.7883127,0.98863025,0.9886457900000001,0.847728335,0.85637975,0.8563938099999999,0.728897065
136436.38,0.9225904,0.92261356,0.7883925,0.9887199200000001,0.9887442380000001,0.8478121250000001,0.85646088,0.856482882,0.728972875
141485.86,0.92267275,0.922704,0.7884854,0.9888063875,0.9888392,0.8479096700000001,0.8565391125,0.8565687999999999,0.72906113
146535.36,0.92275244,0.9227913,0.7885894,0.9888900620000001,0.988930865,0.8480188700000001,0.856614818,0.8566517349999999,0.7291599299999999
151584.86,0.92282957,0.92287564,0.78870296,0.9889710485000001,0.989019422,0.848138108,0.8566880914999999,0.856731858,0.7292678119999999
156634.34,0.9229043,0.9229573,0.7888247,0.989049515,0.989105165,0.8482659350000001,0.856759085,0.856809435,0.729383465
161683.84,0.9229768,0.9230364,0.78895336,0.9891256400000001,0.9891882200000001,0.8484010280000001,0.8568279599999999,0.8568845799999999,0.729505692
166733.34,0.92304724,0.9231131,0.7890879,0.9891996020000001,0.9892687550000001,0.848542295,0.856894878,0.8569574449999999,0.7296335049999999
171782.83,0.9231157,0.9231875,0.7892275,0.9892714850000001,0.9893468750000001,0.848688875,0.8569599149999999,0.857028125,0.7297661249999999
176832.33,0.92318225,0.92325985,0.7893713,0.9893413625,0.9894228425,0.8488398650000001,0.8570231374999999,0.8570968575,0.7299027349999999
181881.83,0.92324704,0.92333007,0.78951865,0.9894093920000001,0.9894965735000001,0.8489945825,0.8570846879999999,0.8571635664999999,0.7300427174999999
186931.31,0.9233102,0.9233985,0.789669,0.98947571,0.9895684250000001,0.8491524500000001,0.8571446899999999,0.8572285749999999,0.7301855499999999
191980.81,0.9233718,0.923465,0.7898216,0.98954039,0.98963825,0.84931268,0.8572032099999999,0.8572917499999999,0.73033052
197030.31,0.9234319,0.92352986,0.78997636,0.989603495,0.9897063530000001,0.849475178,0.857260305,0.857353367,0.730477542
