train_size,CNN_standard,CNN_matern,CNN_beta,Transformer_standard,Transformer_matern,Transformer_beta,MLP_standard,MLP_matern,MLP_beta
100.0,0.8692211,0.86955196,0.78497475,0.9326821550000001,0.9330295580000001,0.8442234875000001,0.8057600449999999,0.8060743619999999,0.7257260125
5149.495,0.9188769,0.9192615,0.86102253,0.984820745,0.985224575,0.9240736565,0.8529330549999999,0.8532984249999999,0.7979714035
10198.99,0.92299086,0.922546,0.8413827,0.9891404030000001,0.9886733000000001,0.9034518350000001,0.8568413169999999,0.8564186999999999,0.7793135649999999
15248.485,0.92431414,0.92335606,0.8281368,0.99,0.9895238630000001,0.8895436400000001,0.858098433,0.857188257,0.7667299599999999
20297.98,0.92486393,0.92367023,0.8190142,0.99,0.9898537415,0.8799649100000001,0.8586207334999999,0.8574867185,0.75806349
25347.477,0.9251194,0.92383784,0.81247956,0.99,0.99,0.8731035380000001,0.85886343,0.8576459479999999,0.7518555819999999
30396.97,0.9252443,0.92395276,0.8076471,0.99,0.99,0.868029455,0.858982085,0.8577551219999999,0.747264745
35446.465,0.92530656,0.9240462,0.80398494,0.99,0.99,0.864184187,0.8590412319999999,0.8578438899999999,0.743785693
40495.96,0.9253375,0.92413026,0.8011572,0.99,0.99,0.86121506,0.859070625,0.857923747,0.74109934
45545.457,0.9253528,0.9242098,0.79894227,0.99,0.99,0.8588893835,0.8590851599999999,0.85799931,0.7389951564999999
50594.953,0.92536074,0.9242867,0.79718876,0.99,0.99,0.8570481980000001,0.859092703,0.858072365,0.737329322
55644.445,0.92536575,0.9243621,0.7957895,0.99,0.99,0.8555789750000001,0.8590974625,0.8581439949999999,0.736000025
60693.94,0.92537034,0.9244362,0.79466695,0.99,0.99,0.8544002975,0.8591018229999999,0.85821439,0.7349336025
65743.44,0.9253757,0.9245093,0.79376376,0.99,0.99,0.8534519480000001,0.8591069149999999,0.8582838349999999,0.734075572
70792.93,0.9253826,0.9245812,0.79303646,0.99,0.99,0.8526882830000001,0.85911347,0.8583521399999999,0.733384637
75842.43,0.9253914,0.924652,0.792452,0.99,0.99,0.8520746000000001,0.8591218299999999,0.8584193999999999,0.7328294
80891.92,0.92540205,0.92472166,0.79198426,0.99,0.99,0.851583473,0.8591319474999999,0.8584855769999999,0.732385047
85941.414,0.9254146,0.9247901,0.7916129,0.99,0.99,0.851193545,0.8591438699999999,0.8585505949999999,0.7320322549999999
90990.914,0.92542905,0.9248574,0.7913218,0.99,0.99,0.85088789,0.8591575974999999,0.85861453,0.73175571
96040.41,0.92544526,0.9249235,0.7910977,0.99,0.99,0.8506525850000001,0.8591729969999999,0.8586773249999999,0.731542815
101089.91,0.92546296,0.9249884,0.79093,0.99,0.99,0.8504765000000001,0.8591898119999999,0.8587389799999999,0.7313835
106139.4,0.9254821,0.92505205,0.79080987,0.99,0.99,0.8503503635,0.8592079949999999,0.8587994474999999,0.7312693765
111188.89,0.92550254,0.9251146,0.7907302,0.99,0.99,0.8502667100000001,0.8592274129999999,0.8588588699999999,0.73119369
116238.39,0.9255242,0.92517585,0.790685,0.99,0.99,0.85021925,0.85924799,0.8589170574999999,0.73115075
121287.88,0.92554677,0.92523605,0.79066926,0.99,0.99,0.8502027230000001,0.8592694314999999,0.8589742475,0.731135797
126337.375,0.9255703,0.92529505,0.7906786,0.99,0.99,0.8502125300000001,0.8592917849999999,0.8590302974999999,0.7311446699999999
131386.88,0.9255946,0.92535293,0.7907098,0.99,0.99,0.85024529,0.85931487,0.8590852834999999,0.73117431
136436.38,0.9256197,0.9254098,0.79075956,0.99,0.99,0.8502975380000001,0.859338715,0.8591393099999999,0.731221582
141485.86,0.92564535,0.9254655,0.79082537,0.99,0.99,0.8503666385,0.8593630824999999,0.859192225,0.7312841014999999
146535.36,0.9256716,0.9255203,0.79090506,0.99,0.99,0.8504503130000001,0.85938802,0.8592442849999999,0.731359807
151584.86,0.9256982,0.92557395,0.7909967,0.99,0.99,0.8505465350000001,0.85941329,0.8592952524999999,0.7314468649999999
156634.34,0.92572534,0.9256267,0.7910986,0.99,0.99,0.85065353,0.8594390729999999,0.8593453649999999,0.73154367
161683.84,0.92575276,0.9256785,0.79120946,0.99,0.99,0.850769933,0.8594651219999999,0.8593945749999999,0.731648987
166733.34,0.9257805,0.9257294,0.7913281,0.99,0.99,0.8508945050000001,0.8594914749999999,0.8594429299999999,0.7317616949999999
171782.83,0.9258084,0.92577934,0.7914532,0.99,0.99,0.85102586,0.8595179799999999,0.8594903729999999,0.7318805399999999
176832.33,0.92583656,0.92582846,0.791584,0.99,0.99,0.8511632,0.8595447319999999,0.859537037,0.7320047999999999
181881.83,0.9258649,0.92587674,0.79171973,0.99,0.99,0.8513057165,0.8595716549999999,0.859582903,0.7321337434999999
186931.31,0.92589337,0.9259242,0.7918596,0.99,0.99,0.85145258,0.8595987015,0.8596279899999999,0.73226662
191980.81,0.9259219,0.9259708,0.79200304,0.99,0.99,0.851603192,0.8596258049999999,0.85967226,0.732402888
197030.31,0.9259504,0.9260166,0.79214936,0.99,0.99,0.8517568280000001,0.8596528799999998,0.8597157699999999,0.732541892
202079.81,0.92597914,0.92606175,0.7922982,0.99,0.99,0.85191311,0.8596801829999999,0.8597586625,0.7326832899999999
207129.3,0.92600775,0.9261061,0.7924492,0.99,0.99,0.85207166,0.8597073624999999,0.859800795,0.7328267399999999
212178.8,0.92603636,0.9261497,0.7926017,0.99,0.99,0.852231785,0.859734542,0.8598422149999999,0.732971615
217228.3,0.92606497,0.9261927,0.79275566,0.99,0.99,0.852393443,0.8597617215,0.8598830649999999,0.733117877
222277.78,0.9260936,0.926235,0.79291075,0.99,0.99,0.8525562875,0.85978892,0.8599232499999999,0.7332652125
227327.28,0.92612207,0.9262766,0.79306656,0.99,0.99,0.852719888,0.8598159664999999,0.85996277,0.733413232
232376.78,0.9261505,0.92631763,0.7932229,0.99,0.99,0.852884045,0.859842975,0.8600017485,0.7335617549999999
237426.27,0.9261789,0.926358,0.79337966,0.99,0.99,0.853048643,0.859869955,0.8600401,0.733710677
242475.77,0.9262071,0.9263978,0.79353666,0.99,0.99,0.853213493,0.8598967449999999,0.86007791,0.733859827
247525.27,0.9262353,0.92643696,0.7936936,0.99,0.99,0.85337828,0.859923535,0.8601151119999999,0.73400892
252574.73,0.92626333,0.9264756,0.7938505,0.99,0.99,0.8535430250000001,0.8599501635,0.8601518199999999,0.7341579749999999
257624.23,0.9262913,0.9265136,0.79400706,0.99,0.99,0.8537074130000001,0.8599767349999999,0.86018792,0.7343067069999999
262673.75,0.9263191,0.92655116,0.79416335,0.99,0.99,0.8538715175000001,0.8600031449999999,0.860223602,0.7344551825
267723.22,0.9263468,0.9265881,0.7943191,0.99,0.99,0.854035055,0.8600294599999999,0.860258695,0.7346031449999999
272772.72,0.9263743,0.92662466,0.79447436,0.99,0.99,0.8541980780000001,0.8600555849999999,0.8602934269999999,0.734750642
277822.22,0.9264017,0.92666066,0.794629,0.99,0.99,0.85436045,0.8600816149999999,0.860327627,0.73489755
282871.7,0.9264289,0.92669606,0.79478294,0.99,0.99,0.8545220870000001,0.860107455,0.860361257,0.735043793
287921.2,0.92645603,0.9267311,0.7949361,0.99,0.99,0.8546829050000001,0.8601332285,0.860394545,0.735189295
292970.7,0.92648304,0.9267657,0.7950885,0.99,0.99,0.854842925,0.860158888,0.860427415,0.7353340749999999
298020.2,0.9265098,0.92679983,0.79524004,0.99,0.99,0.8550020420000001,0.86018431,0.8604598385,0.735478038
303069.7,0.9265364,0.92683345,0.7953907,0.99,0.99,0.855160235,0.86020958,0.8604917774999999,0.735621165
308119.2,0.9265629,0.9268667,0.7955405,0.99,0.99,0.855317525,0.8602347549999999,0.8605233649999999,0.735763475
313168.7,0.92658925,0.9268995,0.7956893,0.99,0.99,0.855473765,0.8602597875,0.860554525,0.735904835
318218.2,0.9266153,0.9269319,0.7958371,0.99,0.99,0.855628955,0.860284535,0.860585305,0.7360452449999999
323267.7,0.92664135,0.9269639,0.79598397,0.99,0.99,0.8557831685,0.8603092824999999,0.8606157049999998,0.7361847715
328317.2,0.92666715,0.9269955,0.79612976,0.99,0.99,0.8559362480000001,0.8603337925,0.8606457249999999,0.7363232719999999
