Architecture,Pilot_Size,True_AUROC,Predicted_AUROC,Error
CNN,100,0.9190513167019495,0.9170085179733135,-0.002042798728635997
CNN,200,0.9190513167019495,0.9170085179733135,-0.002042798728635997
CNN,500,0.9190513167019495,0.9189107720811583,-0.00014054462079116092
CNN,1000,0.9190513167019495,0.9190513050911185,-1.1610830963348917e-08
CNN,2000,0.9190513167019495,0.9190513050911185,-1.1610830963348917e-08
ViT,100,0.9495554301474902,0.9529465986021868,0.003391168454696558
ViT,200,0.9495554301474902,0.9529465986021868,0.003391168454696558
ViT,500,0.9495554301474902,0.9492465053224898,-0.00030892482500044505
ViT,1000,0.9495554301474902,0.9495527794390214,-2.650708468832086e-06
ViT,2000,0.9495554301474902,0.9495527794390214,-2.650708468832086e-06
ResNet,100,0.9292966717991774,0.9299998734964884,0.0007032016973109734
ResNet,200,0.9292966717991774,0.9299998734964884,0.0007032016973109734
ResNet,500,0.9292966717991774,0.9291112657562421,-0.00018540604293526552
ResNet,1000,0.9292966717991774,0.9292965136606187,-1.581385586924e-07
ResNet,2000,0.9292966717991774,0.9292965136606187,-1.581385586924e-07
DenseNet,100,0.9241826689499334,0.9235724498799476,-0.0006102190699858179
DenseNet,200,0.9241826689499334,0.9235724498799476,-0.0006102190699858179
DenseNet,500,0.9241826689499334,0.9240605871207772,-0.00012208182915618426
DenseNet,1000,0.9241826689499334,0.9241426411877256,-4.0027762207794915e-05
DenseNet,2000,0.9241826689499334,0.9241426411877256,-4.0027762207794915e-05
MLP,100,0.8682005077593908,0.8603171835112442,-0.00788332424814664
MLP,200,0.8682005077593908,0.8603171835112442,-0.00788332424814664
MLP,500,0.8682005077593908,0.8673219663508626,-0.0008785414085282772
MLP,1000,0.8682005077593908,0.8682004889740585,-1.8785332289716905e-08
MLP,2000,0.8682005077593908,0.8682004889740585,-1.8785332289716905e-08
